time,timeEpoch,lowTemp,highTemp,shutdownTemp,gateVoltage,supplyVoltage,switchingFrequency,dutyCycle,gateState
4/22/2008 9:10:05 PM,3291768605.888,329,330,345,10,4,10000,40,0
4/22/2008 9:10:06 PM,3291768606.033,329,330,345,10,4,10000,40,0
4/22/2008 9:12:58 PM,3291768778.442,329,330,345,10,4,10000,40,1
4/22/2008 9:13:05 PM,3291768785.578,329,330,345,10,4,10000,40,0
4/22/2008 9:13:10 PM,3291768790.822,329,330,345,10,4,10000,35,1
4/22/2008 9:13:10 PM,3291768790.891,329,330,345,10,4,10000,35,0
4/22/2008 9:13:10 PM,3291768790.91,329,330,345,10,4,10000,35,0
4/22/2008 9:13:18 PM,3291768798.644,329,330,345,10,4,10000,35,1
4/22/2008 9:13:22 PM,3291768802.702,329,330,345,10,4,10000,35,0
4/22/2008 9:13:23 PM,3291768803.544,329,330,345,10,4,10000,32,1
4/22/2008 9:13:23 PM,3291768803.613,329,330,345,10,4,10000,32,0
4/22/2008 9:13:23 PM,3291768803.632,329,330,345,10,4,10000,32,0
4/22/2008 9:13:46 PM,3291768826.211,329,330,345,10,4,10000,32,1
4/22/2008 9:13:49 PM,3291768829.552,329,330,345,10,4,10000,32,0
4/22/2008 9:14:18 PM,3291768858.753,329,330,345,10,4,10000,32,1
4/22/2008 9:14:21 PM,3291768861.661,329,330,345,10,4,10000,32,0
4/22/2008 9:15:04 PM,3291768904.003,329,330,345,10,4,10000,32,1
4/22/2008 9:15:05 PM,3291768905.319,329.8,330,345,10,4,10000,32,0
4/22/2008 9:15:05 PM,3291768905.355,329.8,330,345,10,4,10000,32,0
4/22/2008 9:15:05 PM,3291768905.819,329.8,330,345,10,4,10000,32,0
4/22/2008 9:15:50 PM,3291768950.397,329.8,330,345,10,4,10000,35,1
4/22/2008 9:15:50 PM,3291768950.466,329.8,330,345,10,4,10000,35,0
4/22/2008 9:15:50 PM,3291768950.485,329.8,330,345,10,4,10000,35,0
4/22/2008 9:16:03 PM,3291768963.691,329.8,330,345,10,4,10000,40,1
4/22/2008 9:16:03 PM,3291768963.757,329.8,330,345,10,4,10000,40,0
4/22/2008 9:16:03 PM,3291768963.774,329.8,330,345,10,4,10000,40,0
4/22/2008 9:16:08 PM,3291768968.108,329.8,330,345,10,4,10000,37,1
4/22/2008 9:16:08 PM,3291768968.175,329.8,330,345,10,4,10000,37,0
4/22/2008 9:16:08 PM,3291768968.194,329.8,330,345,10,4,10000,37,0
4/22/2008 9:16:19 PM,3291768979.928,329.8,330,345,10,4,10000,37,1
4/22/2008 9:16:21 PM,3291768981.965,329.8,330,345,10,4,10000,37,0
4/22/2008 9:16:36 PM,3291768996.552,329.8,330,345,10,4,10000,37,1
4/22/2008 9:16:38 PM,3291768998.585,329.8,330,345,10,4,10000,37,0
4/22/2008 9:16:52 PM,3291769012.245,329.8,330,345,10,4,10000,37,1
4/22/2008 9:16:54 PM,3291769014.48,329.8,330,345,10,4,10000,37,0
4/22/2008 9:17:06 PM,3291769026.459,329.8,330,345,10,4,10000,37,1
4/22/2008 9:17:08 PM,3291769028.727,329.8,330,345,10,4,10000,37,0
4/22/2008 9:17:18 PM,3291769038.781,329.8,330,345,10,4,10000,37,1
4/22/2008 9:17:21 PM,3291769041.812,329.8,330,345,10,4,10000,37,0
4/22/2008 9:17:35 PM,3291769055.67,329.8,330,345,10,4,10000,37,1
4/22/2008 9:17:38 PM,3291769058.574,329.8,330,345,10,4,10000,37,0
4/22/2008 9:17:49 PM,3291769069.557,329.8,330,345,10,4,10000,37,1
4/22/2008 9:17:52 PM,3291769072.029,329.8,330,345,10,4,10000,37,0
4/22/2008 9:18:01 PM,3291769081.883,329.8,330,345,10,4,10000,37,1
4/22/2008 9:18:04 PM,3291769084.359,329.8,330,345,10,4,10000,37,0
4/22/2008 9:18:16 PM,3291769096.264,329.8,330,345,10,4,10000,37,1
4/22/2008 9:18:18 PM,3291769098.941,329.8,330,345,10,4,10000,37,0
4/22/2008 9:18:30 PM,3291769110.551,329.8,330,345,10,4,10000,37,1
4/22/2008 9:18:32 PM,3291769112.792,329.8,330,345,10,4,10000,37,0
4/22/2008 9:18:43 PM,3291769123.357,329.8,330,345,10,4,10000,37,1
4/22/2008 9:18:46 PM,3291769126.024,329.8,330,345,10,4,10000,37,0
4/22/2008 9:18:58 PM,3291769138.284,329.8,330,345,10,4,10000,37,1
