gateSignalVoltage,gateEmitterVoltage,collectorEmitterVoltage,collectorEmitterCurrentSingal
8.8281252352,9.3750002688,4.4999999488,0
7.9687501824,9.1406252544,4.4999999488,0
6.7968751104,8.8281252352,4.4374999552,0
5.5468750336,8.515625216,4.3749999616,-0.01562500096
4.3749999616,8.4375002112,4.2499999744,0
3.2812498944,8.2812502016,4.1249999872,0
2.1874998272,8.3593752064,4.0624999936,0
1.484374784,8.2031251968,3.9375000064,-0.01562500096
0.937499750400001,8.3593752064,3.9375000064,-0.01562500096
0.7812497408,8.515625216,4.0624999936,0
0.703124736,8.5937502208,4.1249999872,-0.01562500096
0.7812497408,8.7500002304,4.2499999744,0
0.8593747456,8.90625024,4.3749999616,0
0.937499750400001,8.9843752448,4.624999936,0
1.0156247552,9.1406252544,4.6874999296,-0.01562500096
1.09374976,9.0625002496,4.7499999232,0.01562500096
1.09374976,9.0625002496,4.7499999232,-0.01562500096
0.937499750400001,8.9843752448,4.7499999232,0
0.7812497408,8.90625024,4.6874999296,-0.01562500096
0.7812497408,8.8281252352,4.6874999296,0
0.6249997312,8.7500002304,4.5624999424,0
0.4687497216,8.6718752256,4.4999999488,0
0.4687497216,8.6718752256,4.4374999552,-0.01562500096
0.390624716800001,8.515625216,4.3749999616,-0.01562500096
0.390624716800001,8.4375002112,4.4374999552,0
0.390624716800001,8.4375002112,4.5624999424,0
0.312499712,8.515625216,4.624999936,-0.01562500096
0.234374707200001,8.4375002112,4.6874999296,-0.01562500096
0.234374707200001,8.4375002112,4.6874999296,0
0.234374707200001,8.4375002112,4.8124999168,0
0.234374707200001,8.3593752064,4.7499999232,0
0.234374707200001,8.2812502016,4.7499999232,-0.01562500096
0.312499712,8.2031251968,4.7499999232,0
0.234374707200001,8.2031251968,4.6874999296,0
0.312499712,8.2031251968,4.7499999232,0
0.234374707200001,8.2031251968,4.7499999232,-0.01562500096
0.1562497024,8.125000192,4.8124999168,0
0.1562497024,8.125000192,4.9999998976,-0.01562500096
0.0781246976000007,7.9687501824,4.9999998976,-0.01562500096
0.0781246976000007,8.0468751872,5.0624998912,-0.01562500096
-3.07199999660668e-07,7.9687501824,5.1249998848,0
-3.07199999660668e-07,8.0468751872,5.1874998784,0
0.1562497024,8.0468751872,5.1874998784,0
0.0781246976000007,7.9687501824,5.1874998784,-0.03125000192
0.1562497024,7.9687501824,5.249999872,0.01562500096
0.1562497024,7.8906251776,5.3124998656,-0.01562500096
0.0781246976000007,7.8906251776,5.3124998656,0
0.0781246976000007,7.8125001728,5.3749998592,-0.01562500096
0.0781246976000007,7.8125001728,5.4374998528,0
0.0781246976000007,7.8125001728,5.56249984,0
-3.07199999660668e-07,7.8906251776,5.6249998336,-0.01562500096
-3.07199999660668e-07,7.8125001728,5.6874998272,-0.01562500096
-3.07199999660668e-07,7.8906251776,5.6874998272,0
-0.0781253120000001,7.734375168,5.7499998208,0
-0.0781253120000001,7.8125001728,5.874999808,0
-0.0781253120000001,7.8125001728,5.874999808,0
-0.0781253120000001,7.8125001728,5.8124998144,-0.01562500096
-0.0781253120000001,7.734375168,5.9374998016,0.01562500096
-0.0781253120000001,7.8906251776,5.9999997952,-0.01562500096
-0.0781253120000001,7.6562501632,5.9999997952,0
-0.0781253120000001,7.734375168,6.0624997888,0
-0.2343753216,7.734375168,6.2499997696,0
-0.2343753216,7.734375168,6.3124997632,0
-0.1562503168,7.6562501632,6.3124997632,0
-0.0781253120000001,7.8125001728,6.3749997568,0
-0.0781253120000001,7.6562501632,6.499999744,0
-0.0781253120000001,7.8125001728,6.5624997376,0
-0.1562503168,7.734375168,6.6249997312,0
-0.0781253120000001,7.734375168,6.6249997312,0
-0.1562503168,7.6562501632,6.7499997184,0
-0.0781253120000001,7.6562501632,6.812499712,-0.01562500096
-0.0781253120000001,7.6562501632,6.7499997184,0
-0.1562503168,7.5781251584,6.812499712,0
-0.2343753216,7.5781251584,6.812499712,0.01562500096
-0.312500326399999,7.5000001536,6.812499712,0
-0.2343753216,7.5000001536,6.812499712,0
