gateSignalVoltage,gateEmitterVoltage,collectorEmitterVoltage,collectorEmitterCurrentSingal
8.9843752448,9.3750002688,2.0312495104,-0.01562500096
8.3593752064,9.2187502592,1.8749995008,0
7.2656251392,8.90625024,2.0312495104,0
6.0937500672,8.7500002304,2.18749952,-0.01562500096
4.8437499904,8.4375002112,2.0312495104,0
3.6718749184,8.2812502016,1.7187494912,0
2.5781248512,8.2031251968,1.5624994816,0
1.7187497984,8.125000192,1.5624994816,0
1.1718747648,8.125000192,1.5624994816,-0.01562500096
0.8593747456,8.2812502016,1.2499994624,0
0.703124736,8.4375002112,1.7187494912,0
0.703124736,8.6718752256,1.7187494912,-0.01562500096
0.7812497408,8.6718752256,1.8749995008,0
1.0156247552,8.8281252352,2.0312495104,-0.01562500096
1.0156247552,8.90625024,2.0312495104,0
1.09374976,9.0625002496,2.18749952,-0.01562500096
1.0156247552,9.0625002496,2.18749952,-0.01562500096
1.09374976,8.9843752448,2.0312495104,-0.01562500096
0.937499750400001,8.90625024,2.3437495296,0
0.7812497408,8.8281252352,2.18749952,0.01562500096
0.703124736,8.6718752256,2.0312495104,0
0.5468747264,8.6718752256,2.0312495104,0
0.4687497216,8.515625216,2.0312495104,0
0.4687497216,8.4375002112,2.0312495104,0
0.5468747264,8.3593752064,2.0312495104,-0.03125000192
0.4687497216,8.4375002112,1.8749995008,0
0.390624716800001,8.3593752064,2.18749952,0
0.312499712,8.2812502016,2.3437495296,-0.03125000192
0.312499712,8.2812502016,2.0312495104,0
0.390624716800001,8.3593752064,2.18749952,-0.01562500096
0.312499712,8.2812502016,2.4999995392,0
0.312499712,8.125000192,2.18749952,0
0.234374707200001,8.125000192,2.18749952,-0.01562500096
0.312499712,8.0468751872,2.0312495104,0
0.234374707200001,7.9687501824,2.18749952,-0.01562500096
0.1562497024,7.9687501824,2.18749952,-0.01562500096
0.1562497024,7.8906251776,2.18749952,-0.01562500096
0.1562497024,7.8906251776,2.3437495296,0
0.1562497024,7.8125001728,2.18749952,0
0.0781246976000007,7.8906251776,2.18749952,0
-3.07199999660668e-07,7.734375168,2.18749952,-0.01562500096
-3.07199999660668e-07,7.734375168,2.3437495296,-0.01562500096
-3.07199999660668e-07,7.734375168,2.4999995392,0
-3.07199999660668e-07,7.6562501632,2.3437495296,-0.01562500096
0.0781246976000007,7.6562501632,2.4999995392,-0.01562500096
-3.07199999660668e-07,7.6562501632,2.3437495296,0
-0.0781253120000001,7.6562501632,2.4999995392,0
-3.07199999660668e-07,7.5781251584,2.4999995392,0
-0.1562503168,7.4218751488,2.4999995392,0
-0.0781253120000001,7.343750144,2.3437495296,-0.01562500096
-0.1562503168,7.343750144,2.6562495488,0
-0.2343753216,7.4218751488,2.6562495488,-0.01562500096
-0.1562503168,7.343750144,2.8124995584,-0.01562500096
-0.1562503168,7.2656251392,2.6562495488,0
-0.1562503168,7.2656251392,2.6562495488,-0.01562500096
-0.0781253120000001,7.343750144,2.8124995584,0
-0.1562503168,7.2656251392,2.8124995584,-0.01562500096
-0.1562503168,7.1875001344,2.8124995584,0
-0.312500326399999,7.2656251392,2.968749568,0
-0.2343753216,7.1875001344,2.8124995584,0
-0.312500326399999,7.1093751296,2.968749568,-0.01562500096
-0.312500326399999,7.1875001344,2.968749568,0
-0.3906253312,7.1875001344,3.1249995776,-0.01562500096
-0.1562503168,7.343750144,3.2812495872,0
-0.2343753216,7.2656251392,3.2812495872,0
-0.1562503168,7.0312501248,3.2812495872,0
-0.1562503168,7.1093751296,3.4374995968,-0.03125000192
-0.2343753216,7.1875001344,3.4374995968,0
-0.2343753216,7.1093751296,3.5937496064,-0.01562500096
-0.312500326399999,7.1093751296,3.5937496064,0
-0.2343753216,7.1093751296,3.5937496064,0
-0.2343753216,7.1875001344,3.749999616,-0.01562500096
-0.2343753216,7.1093751296,3.5937496064,-0.01562500096
-0.312500326399999,7.1093751296,3.5937496064,0
-0.312500326399999,7.0312501248,3.5937496064,0.01562500096
-0.3906253312,7.0312501248,3.5937496064,0
-0.468750335999999,7.0312501248,3.749999616,0
-0.3906253312,7.0312501248,3.749999616,0.01562500096
-0.312500326399999,6.95312512,4.0624996352,0
-0.312500326399999,7.0312501248,4.0624996352,0
-0.312500326399999,6.95312512,4.2187496448,-0.01562500096
-0.2343753216,7.0312501248,4.2187496448,-0.01562500096
-0.3906253312,6.95312512,4.3749996544,-0.01562500096
-0.3906253312,7.0312501248,4.3749996544,0
-0.2343753216,7.0312501248,4.3749996544,-0.01562500096
-0.312500326399999,6.95312512,4.3749996544,0
-0.2343753216,6.95312512,4.3749996544,-0.01562500096
-0.312500326399999,7.0312501248,4.531249664,0
-0.3906253312,6.8750001152,4.3749996544,-0.01562500096
-0.312500326399999,6.7187501056,4.3749996544,0
-0.3906253312,6.7968751104,4.531249664,0
-0.3906253312,6.7968751104,4.6874996736,-0.01562500096
-0.3906253312,6.7968751104,4.531249664,0
-0.3906253312,6.8750001152,4.6874996736,0
-0.468750335999999,6.7968751104,4.6874996736,0
-0.3906253312,6.7968751104,4.9999996928,-0.01562500096
-0.468750335999999,6.7968751104,4.8437496832,-0.01562500096
-0.468750335999999,6.7187501056,4.8437496832,0
-0.3906253312,6.7187501056,4.9999996928,0
-0.468750335999999,6.7187501056,5.1562497024,0
-0.312500326399999,6.7187501056,5.1562497024,-0.01562500096
-0.5468753408,6.7187501056,4.9999996928,-0.01562500096
-0.468750335999999,6.7968751104,5.1562497024,0.01562500096
-0.312500326399999,6.8750001152,5.4687497216,-0.01562500096
-0.3906253312,6.7968751104,5.312499712,0
-0.3906253312,6.7187501056,5.312499712,-0.01562500096
-0.3906253312,6.6406251008,5.4687497216,0
-0.468750335999999,6.6406251008,5.4687497216,-0.01562500096
-0.3906253312,6.6406251008,5.6249997312,0
-0.468750335999999,6.7187501056,5.4687497216,-0.01562500096
-0.468750335999999,6.6406251008,5.6249997312,0
-0.468750335999999,6.7187501056,5.6249997312,-0.01562500096
-0.5468753408,6.6406251008,5.7812497408,0
-0.5468753408,6.562500096,5.7812497408,0
-0.468750335999999,6.562500096,5.9374997504,0
-0.468750335999999,6.562500096,6.09374976,-0.01562500096
-0.625000345599999,6.4843750912,5.9374997504,-0.01562500096
-0.468750335999999,6.4843750912,6.09374976,-0.01562500096
-0.468750335999999,6.4843750912,6.2499997696,0
-0.3906253312,6.562500096,6.2499997696,0
-0.468750335999999,6.4843750912,6.2499997696,-0.01562500096
-0.468750335999999,6.4843750912,6.4062497792,0
-0.3906253312,6.4062500864,6.5624997888,-0.01562500096
-0.3906253312,6.4843750912,6.5624997888,-0.01562500096
-0.3906253312,6.4062500864,6.5624997888,0
-0.312500326399999,6.3281250816,6.4062497792,0.01562500096
-0.468750335999999,6.3281250816,6.4062497792,0
-0.3906253312,6.4843750912,6.4062497792,-0.01562500096
-0.468750335999999,6.4062500864,6.7187497984,-0.03125000192
-0.3906253312,6.3281250816,6.874999808,0
-0.312500326399999,6.3281250816,6.7187497984,0
-0.468750335999999,6.3281250816,6.874999808,0
-0.5468753408,6.4062500864,6.874999808,-0.01562500096
-0.468750335999999,6.3281250816,7.0312498176,0
-0.468750335999999,6.2500000768,7.0312498176,-0.01562500096
-0.3906253312,6.2500000768,7.0312498176,-0.01562500096
-0.468750335999999,6.2500000768,7.0312498176,-0.01562500096
-0.468750335999999,6.171875072,7.1874998272,0
-0.312500326399999,6.171875072,7.3437498368,0
-0.468750335999999,6.0937500672,7.3437498368,-0.01562500096
-0.468750335999999,6.171875072,7.3437498368,-0.01562500096
-0.3906253312,6.0156250624,7.4999998464,0
-0.468750335999999,6.0937500672,7.4999998464,-0.01562500096
-0.5468753408,6.171875072,7.4999998464,-0.01562500096
-0.5468753408,6.171875072,7.656249856,-0.01562500096
-0.312500326399999,6.0937500672,7.656249856,0
-0.468750335999999,6.0156250624,7.8124998656,0
-0.468750335999999,6.171875072,7.9687498752,0
-0.312500326399999,5.8593750528,7.9687498752,-0.01562500096
-0.3906253312,5.9375000576,7.9687498752,0
-0.3906253312,5.9375000576,8.1249998848,-0.01562500096
-0.468750335999999,5.9375000576,8.1249998848,-0.01562500096
-0.468750335999999,5.9375000576,8.2812498944,-0.03125000192
-0.312500326399999,5.781250048,8.2812498944,-0.01562500096
-0.3906253312,5.781250048,8.5937499136,0
-0.5468753408,5.781250048,8.7499999232,0
-0.5468753408,5.6250000384,8.7499999232,-0.01562500096
-0.5468753408,5.5468750336,9.0624999424,0
-0.468750335999999,5.4687500288,9.3749999616,0
-0.468750335999999,5.4687500288,9.5312499712,-0.01562500096
-0.5468753408,5.2343750144,10,-0.01562500096
-0.625000345599999,5.1562500096,10.3125000192,0
-0.781250355199999,5.0781250048,11.0937500672,0
-0.781250355199999,4.9218749952,11.7187501056,-0.01562500096
-0.85937536,4.9218749952,12.343750144,0
-0.781250355199999,4.8437499904,12.8125001728,0
-0.85937536,4.609374976,13.4375002112,0
-0.9375003648,4.6874999808,13.90625024,0.01562500096
-1.0156253696,4.2968749568,14.5312502784,0
-0.9375003648,4.2968749568,14.8437502976,0.01562500096
-1.0937503744,4.0624999424,15.6250003456,0
-1.0156253696,3.9843749376,16.0937503744,0
-1.1718753792,3.6718749184,16.5625004032,0.01562500096
-1.250000384,3.437499904,17.3437504512,0
-1.250000384,3.437499904,17.9687504896,0.01562500096
-1.3281253888,3.3593748992,18.593750528,0
-1.3281253888,3.1249998848,19.2187505664,0
-1.250000384,3.1249998848,19.6875005952,0.01562500096
-1.4062503936,2.8906248704,20.3125006336,0
-1.4062503936,2.8124998656,20.937500672,0
-1.4062503936,2.4999998464,21.2500006912,0
-1.3281253888,2.4999998464,21.71875072,0.01562500096
-1.4062503936,2.265624832,22.500000768,0
-1.4062503936,2.1874998272,22.8125007872,0.01562500096
-1.4062503936,2.1093748224,23.281250816,0.01562500096
-1.4843753984,1.874999808,23.5937508352,0.01562500096
-1.5625004032,1.874999808,24.3750008832,0.01562500096
-1.640625408,1.7187497984,24.5312508928,0.01562500096
-1.5625004032,1.5624997888,24.6875009024,0.01562500096
-1.5625004032,1.484374784,24.843750912,0.03125000192
-1.5625004032,1.4062497792,25.1562509312,0
-1.5625004032,1.2499997696,25.3125009408,0.01562500096
-1.4843753984,1.1718747648,25.3125009408,0.01562500096
-1.4843753984,1.1718747648,25.4687509504,0.01562500096
-1.5625004032,1.09374976,25.4687509504,0.01562500096
-1.5625004032,0.937499750400001,25.4687509504,0.01562500096
-1.4843753984,0.8593747456,25.3125009408,0.01562500096
-1.4062503936,0.937499750400001,25.3125009408,0.01562500096
-1.3281253888,0.7812497408,25.1562509312,0.01562500096
-1.4062503936,0.937499750400001,24.6875009024,0
-1.3281253888,0.8593747456,24.3750008832,0
-1.250000384,0.703124736,23.7500008448,0
-1.1718753792,0.703124736,23.4375008256,0
-1.250000384,0.703124736,22.9687507968,0.01562500096
-1.0937503744,0.6249997312,22.1875007488,0
-1.0937503744,0.703124736,21.5625007104,0
-1.0156253696,0.703124736,21.0937506816,0
-0.85937536,0.703124736,20.3125006336,0
-0.85937536,0.7812497408,19.5312505856,0.01562500096
-0.85937536,0.703124736,18.9062505472,0
-0.85937536,0.703124736,18.2812505088,0
